timestamp,user_id,host_computer,device_id,device_type,action,file_name,file_size_kb
2026-08-15 17:18:00,EMP1233,WORKSTATION-04,USB-5FF7468F,External HDD,DELETE,photo.jpg,2679.4
2026-08-16 15:39:00,EMP1204,WORKSTATION-02,USB-C313A91D,SD Card,CONNECT,weekly_report.xlsx,114.6
2026-08-18 17:40:00,EMP1001,WORKSTATION-07,USB-F5C113B8,External HDD,CONNECT,weekly_report.xlsx,3849.4
2026-08-03 08:04:00,EMP1188,WORKSTATION-02,USB-0729D60A,External HDD,DISCONNECT,schedule.xlsx,4050.3
2026-08-11 12:37:00,EMP1042,WORKSTATION-08,USB-468EB41E,Smartphone,RENAME,meeting_notes.docx,1322.5
2026-08-15 15:40:00,EMP1150,WORKSTATION-04,USB-030E8F84,External HDD,DISCONNECT,presentation.pptx,334.2
2026-08-05 10:51:00,EMP1204,WORKSTATION-04,USB-C6E49690,USB Flash Drive,RENAME,backup.zip,444.2
2026-08-03 11:10:00,EMP1077,WORKSTATION-07,USB-06EC4BBC,SD Card,DELETE,schedule.xlsx,2417.2
2026-08-17 10:32:00,EMP1188,WORKSTATION-03,USB-8C8050EE,Smartphone,CONNECT,backup.zip,4211.5
2026-08-08 11:01:00,EMP1150,WORKSTATION-06,USB-A6F8F1F2,Smartphone,DISCONNECT,invoice.pdf,1654.7
2026-08-15 16:13:00,EMP1001,WORKSTATION-08,USB-4D1D1C3B,Smartphone,DELETE,weekly_report.xlsx,3685.2
2026-08-17 15:33:00,EMP1103,WORKSTATION-03,USB-2D7AB7E7,USB Flash Drive,COPY,weekly_report.xlsx,4587.9
2026-08-06 14:39:00,EMP1150,WORKSTATION-08,USB-D5AF9CBB,USB Flash Drive,COPY,notes.txt,2546.4
2026-08-06 09:36:00,EMP1077,WORKSTATION-08,USB-9C78948F,USB Flash Drive,CONNECT,photo.jpg,1474.6
2026-08-08 12:16:00,EMP1150,WORKSTATION-04,USB-13C92276,Smartphone,COPY,invoice.pdf,3509.6
2026-08-02 14:46:00,EMP1204,WORKSTATION-03,USB-43E7D80F,USB Flash Drive,COPY,weekly_report.xlsx,1258.3
2026-08-06 23:56:00,EMP1042,WORKSTATION-06,USB-74314106,External HDD,COPY,salary_data.xlsx,182682.8
2026-08-16 02:05:00,EMP1204,WORKSTATION-01,USB-8ECA91C2,USB Flash Drive,COPY,salary_data.xlsx,171269.1
2026-08-21 12:46:00,EMP1233,WORKSTATION-02,USB-23A0BDF6,External HDD,DISCONNECT,invoice.pdf,
2026-08-07 18:31:00,EMP1150,WORKSTATION-07,USB-E63F8101,External HDD,DELETE,schedule.xlsx,731.5
2026-08-20 10:43:00,EMP1188,WORKSTATION-07,USB-54F028E1,Smartphone,DELETE,notes.txt,1872.6
