timestamp,user_id,host_computer,device_id,device_type,action,file_name,file_size_kb,hour_of_day,is_weekend,is_after_hours,file_extension,is_large_transfer,is_anomaly
2026-08-08 06:32:00,EMP1042,WORKSTATION-05,USB-7E7BFC03,SD Card,COPY,backup.zip,2534.8,6,True,False,zip,False,1
2026-08-02 10:17:00,EMP1103,WORKSTATION-06,USB-DAD8AC88,External HDD,COPY,schedule.xlsx,2668.3,10,True,False,xlsx,False,1
2026-08-20 17:51:00,EMP1233,WORKSTATION-02,USB-3AC82579,Smartphone,RENAME,presentation.pptx,50.0,17,False,False,pptx,False,1
2026-08-06 16:10:00,EMP1042,WORKSTATION-02,USB-AFA69DEE,USB Flash Drive,DELETE,backup.zip,2255.4,16,False,False,zip,False,1
2026-08-16 12:19:00,EMP1204,WORKSTATION-06,USB-1C140048,External HDD,DISCONNECT,meeting_notes.docx,2027.2,12,True,False,docx,False,1
2026-08-16 01:40:00,EMP1233,WORKSTATION-07,USB-C0082491,External HDD,COPY,client_database.csv,153898.9,1,True,True,csv,True,-1
2026-08-09 00:24:00,EMP1233,WORKSTATION-07,USB-0627A817,USB Flash Drive,DELETE,presentation.pptx,50.0,0,True,True,pptx,False,-1
2026-08-12 02:35:00,EMP1077,WORKSTATION-02,USB-A2C2FB4E,External HDD,COPY,source_code.zip,123535.8,2,False,True,zip,True,1
2026-08-10 11:09:00,EMP1001,WORKSTATION-01,USB-E51CD216,SD Card,DISCONNECT,notes.txt,949.8,11,False,False,txt,False,1
2026-08-11 16:38:00,EMP1103,WORKSTATION-06,USB-B4E0CBF4,USB Flash Drive,CONNECT,invoice.pdf,1765.3,16,False,False,pdf,False,1
2026-08-13 12:53:00,EMP1233,WORKSTATION-08,USB-A67880CA,SD Card,DISCONNECT,invoice.pdf,3190.4,12,False,False,pdf,False,1
2026-08-08 17:43:00,EMP1150,WORKSTATION-06,USB-FBB5263A,USB Flash Drive,DISCONNECT,notes.txt,3429.2,17,True,False,txt,False,1
2026-08-15 07:43:00,EMP1077,WORKSTATION-03,USB-677889D8,Smartphone,RENAME,weekly_report.xlsx,2325.2,7,True,False,xlsx,False,1
2026-08-01 18:25:00,EMP1103,WORKSTATION-08,USB-38685ABF,External HDD,COPY,weekly_report.xlsx,3508.0,18,True,False,xlsx,False,1
2026-08-21 07:55:00,EMP1001,WORKSTATION-07,USB-A4D5906F,USB Flash Drive,COPY,schedule.xlsx,2158.3,7,False,False,xlsx,False,1
2026-08-18 12:06:00,EMP1077,WORKSTATION-07,USB-7D982397,Smartphone,CONNECT,weekly_report.xlsx,134.6,12,False,False,xlsx,False,1
2026-08-10 16:57:00,EMP1204,WORKSTATION-06,USB-0C918963,USB Flash Drive,CONNECT,photo.jpg,2769.3,16,False,False,jpg,False,1
2026-08-20 06:23:00,EMP1233,WORKSTATION-04,USB-69F6A855,SD Card,COPY,weekly_report.xlsx,1398.7,6,False,False,xlsx,False,1
2026-08-10 11:39:00,EMP1204,WORKSTATION-06,USB-3A8E327D,External HDD,RENAME,backup.zip,4683.1,11,False,False,zip,False,1
2026-08-03 13:48:00,EMP1233,WORKSTATION-04,USB-FB500BCB,Smartphone,DISCONNECT,schedule.xlsx,2789.6,13,False,False,xlsx,False,1
2026-08-06 07:41:00,EMP1103,WORKSTATION-01,USB-ABE528FE,External HDD,DELETE,photo.jpg,2688.4,7,False,False,jpg,False,1
2026-08-17 18:13:00,EMP1042,WORKSTATION-01,USB-8E9DCD4A,USB Flash Drive,DISCONNECT,notes.txt,1945.9,18,False,False,txt,False,1
2026-08-17 10:08:00,EMP1042,WORKSTATION-01,USB-4E037AD4,External HDD,COPY,invoice.pdf,3635.2,10,False,False,pdf,False,1
2026-08-21 06:27:00,EMP1188,WORKSTATION-04,USB-43F51D97,USB Flash Drive,RENAME,schedule.xlsx,3696.9,6,False,False,xlsx,False,1
2026-08-11 07:03:00,EMP1001,WORKSTATION-05,USB-B9ECDD99,External HDD,CONNECT,photo.jpg,2668.3,7,False,False,jpg,False,1
2026-08-11 01:41:00,EMP1077,WORKSTATION-02,USB-64ABE31C,External HDD,COPY,source_code.zip,2668.3,1,False,True,zip,False,-1
2026-08-21 13:31:00,EMP1001,WORKSTATION-04,USB-DEDFD2EE,USB Flash Drive,DELETE,schedule.xlsx,3114.7,13,False,False,xlsx,False,1
2026-08-11 00:22:00,EMP1188,WORKSTATION-01,USB-EBE39E7D,USB Flash Drive,COPY,client_database.csv,172686.0,0,False,True,csv,True,-1
