timestamp,user_id,event_type,message
2026-07-30 10:56:22.680209,user_9,login,User logged in from IP 192.168.1.218
2026-07-30 11:09:22.680220,user_2,network_connection,Connection to www.suspicious-site-3.com on port 8080
2026-07-30 12:06:22.680222,user_3,network_connection,Connection to www.suspicious-site-3.com on port 8080
2026-07-30 12:17:22.680224,user_2,logout,logout event.
2026-07-30 11:00:22.680224,user_10,file_access,
2026-07-30 12:22:22.680225,user_5,logout,logout event.
2026-07-30 11:37:22.680226,user_5,network_connection,Connection to www.suspicious-site-1.com on port 8080
2026-07-30 12:26:22.680227,user_5,logout,logout event.
2026-07-30 11:43:22.680228,user_10,login,User logged in from IP 192.168.1.230
2026-07-30 12:24:22.680229,user_1,login,User logged in from IP 192.168.1.130
2026-07-30 12:17:22.680230,user_6,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:47:22.680231,user_10,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 11:47:22.680232,user_9,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_4.txt
2026-07-30 11:32:22.680232,user_1,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 11:40:22.680233,user_2,logout,logout event.
2026-07-30 11:00:22.680234,,login,User logged in from IP 192.168.1.168
2026-07-30 11:10:22.680234,user_8,logout,logout event.
2026-07-30 12:14:22.680235,user_8,login,User logged in from IP 192.168.1.10
2026-07-30 12:19:22.680236,user_8,network_connection,Connection to www.suspicious-site-1.com on port 8080
2026-07-30 11:22:22.680237,user_7,login,User logged in from IP 192.168.1.82
2026-07-30 11:21:22.680237,user_9,login,User logged in from IP 192.168.1.78
2026-07-30 11:19:22.680238,user_2,logout,logout event.
2026-07-30 11:38:22.680239,user_3,network_connection,Connection to www.suspicious-site-3.com on port 8080
2026-07-30 11:36:22.680240,user_10,login,User logged in from IP 192.168.1.31
2026-07-30 12:04:22.680240,user_10,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_2.txt
2026-07-30 12:06:22.680241,user_4,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_4.txt
2026-07-30 11:18:22.680242,user_9,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_4.txt
2026-07-30 11:59:22.680243,user_9,login,User logged in from IP 192.168.1.11
2026-07-30 12:05:22.680243,user_6,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:24:22.680244,user_9,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:16:22.680245,user_5,file_access,Accessed sensitive document path: /home/user_10/docs/private_file_1.txt
2026-07-30 11:09:22.680245,,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
2026-07-30 11:16:22.680246,user_2,email_sent,Email sent from Jane Doe to John Doe about Project X and the London office.
